,0
observ,1
use,2
model,3
star,4
mass,5
galaxi,6
magnet,7
field,8
result,9
time,10
show,11
studi,12
system,13
high,14
find,15
energi,16
effect,17
data,18
two,19
measur,20
structur,21
also,22
present,23
ray,24
spin,25
differ,26
x,27
electron,28
simul,29
properti,30
phase,31
state,32
densiti,33
detect,34
larg,35
emiss,36
temperatur,37
base,38
stellar,39
rm,40
low,41
sourc,42
paramet,43
scale,44
cluster,45
line,46
format,47
h,48
sim,49
ga,50
one,51
band,52
function,53
provid,54
gener,55
orbit,56
method,57
region,58
depend,59
new,60
distribut,61
sampl,62
materi,63
optic,64
rang,65
metal,66
well,67
transit,68
non,69
first,70
surfac,71
order,72
z,73
form,74
compar,75
interact,76
e,77
dynam,78
planet,79
analysi,80
rate,81
evolut,82
disk,83
like,84
investig,85
calcul,86
veloc,87
predict,88
type,89
k,90
process,91
found,92
c,93
consist,94
estim,95
survey,96
due,97
obtain,98
current,99
imag,100
n,101
topolog,102
work,103
local,104
power,105
increas,106
includ,107
solar,108
correl,109
radio,110
limit,111
r,112
potenti,113
suggest,114
physic,115
quantum,116
binari,117
space,118
light,119
b,120
howev,121
may,122
possibl,123
hole,124
matter,125
redshift,126
demonstr,127
wave,128
rotat,129
within,130
period,131
perform,132
relat,133
polar,134
accret,135
determin,136
recent,137
valu,138
mode,139
dark,140
frequenc,141
coupl,142
thermal,143
spectra,144
mechan,145
spectral,146
combin,147
number,148
activ,149
telescop,150
flux,151
three,152
pm,153
deriv,154
g,155
report,156
compon,157
spectrum,158
indic,159
dust,160
strong,161
point,162
ratio,163
halo,164
singl,165
layer,166
co,167
alpha,168
gamma,169
popul,170
small,171
galact,172
size,173
allow,174
theori,175
addit,176
direct,177
object,178
black,179
featur,180
approach,181
lead,182
odot,183
core,184
dimension,185
signific,186
identifi,187
case,188
atom,189
atmospher,190
level,191
develop,192
resolut,193
origin,194
conduct,195
signal,196
consid,197
appli,198
particl,199
chang,200
gravit,201
propos,202
cosmolog,203
import,204
host,205
cosmic,206
dwarf,207
near,208
similar,209
massiv,210
higher,211
luminos,212
comput,213
fit,214
p,215
molecular,216
reveal,217
produc,218
discuss,219
fraction,220
event,221
scatter,222
induc,223
applic,224
distanc,225
around,226
could,227
respect,228
abund,229
cloud,230
long,231
v,232
transport,233
experiment,234
rel,235
mathrm,236
paper,237
requir,238
j,239
effici,240
associ,241
profil,242
set,243
agn,244
charg,245
sigma,246
variabl,247
fe,248
known,249
presenc,250
way,251
understand,252
describ,253
expect,254
jet,255
l,256
extend,257
sever,258
test,259
explor,260
curv,261
spatial,262
lower,263
theoret,264
wind,265
numer,266
experi,267
merger,268
domin,269
exist,270
peak,271
factor,272
contribut,273
map,274
magnitud,275
constraint,276
mean,277
disc,278
devic,279
graphen,280
wide,281
condit,282
previou,283
explain,284
candid,285
plane,286
character,287
gap,288
univers,289
select,290
techniqu,291
natur,292
symmetri,293
follow,294
photon,295
term,296
chemic,297
close,298
enhanc,299
constrain,300
exhibit,301
variat,302
futur,303
improv,304
confirm,305
probe,306
linear,307
larger,308
sensit,309
mani,310
even,311
total,312
electr,313
bright,314
along,315
statist,316
final,317
initi,318
cm,319
control,320
posit,321
ii,322
inform,323
year,324
f,325
heat,326
edg,327
reson,328
crystal,329
main,330
radiu,331
radiat,332
diffus,333
search,334
multi,335
evid,336
angl,337
excit,338
infrar,339
km,340
shape,341
neutron,342
approxim,343
impact,344
make,345
equat,346
absorpt,347
account,348
supernova,349
respons,350
central,351
thu,352
complex,353
phonon,354
lattic,355
radial,356
design,357
group,358
mu,359
separ,360
averag,361
precis,362
neutrino,363
via,364
detail,365
particular,366
shock,367
correspond,368
film,369
flare,370
wavelength,371
bulk,372
regim,373
motion,374
bodi,375
age,376
giant,377
angular,378
element,379
significantli,380
nois,381
remain,382
environ,383
toward,384
pressur,385
lens,386
open,387
composit,388
earth,389
typic,390
resolv,391
oscil,392
spectroscopi,393
scenario,394
spectroscop,395
growth,396
strength,397
outflow,398
al,399
locat,400
background,401
earli,402
dispers,403
us,404
standard,405
insul,406
reduc,407
analyt,408
infer,409
systemat,410
network,411
role,412
decreas,413
integr,414
sky,415
driven,416
burst,417
occur,418
acceler,419
second,420
day,421
free,422
constant,423
analyz,424
critic,425
variou,426
appear,427
class,428
amplitud,429
assum,430
grain,431
agreement,432
transfer,433
strongli,434
multipl,435
hot,436
characterist,437
behavior,438
pulsar,439
cross,440
caus,441
weak,442
intens,443
would,444
lambda,445
thin,446
instrument,447
specif,448
sub,449
becom,450
highli,451
hall,452
solut,453
sn,454
flow,455
medium,456
array,457
planetari,458
accur,459
self,460
fermi,461
achiev,462
enabl,463
perturb,464
kpc,465
avail,466
strain,467
law,468
center,469
less,470
satellit,471
extrem,472
cool,473
interfac,474
photometr,475
independ,476
uncertainti,477
code,478
uv,479
quasar,480
aim,481
boundari,482
fast,483
emerg,484
without,485
ioniz,486
momentum,487
rich,488
w,489
exciton,490
pair,491
gw,492
previous,493
much,494
correct,495
inner,496
support,497
compact,498
analys,499
part,500
full,501
ngc,502
affect,503
need,504
major,505
give,506
degre,507
short,508
ground,509
astrophys,510
four,511
intrins,512
algorithm,513
simpl,514
domain,515
vari,516
ferromagnet,517
therefor,518
disord,519
continuum,520
gaia,521
thick,522
interpret,523
defect,524
principl,525
given,526
turbul,527
take,528
exoplanet,529
morpholog,530
delta,531
shown,532
configur,533
far,534
approx,535
introduc,536
yield,537
problem,538
hydrogen,539
across,540
contain,541
target,542
zero,543
observatori,544
stabil,545
project,546
anisotropi,547
fundament,548
contrast,549
maximum,550
challeng,551
repres,552
deep,553
detector,554
reproduc,555
bia,556
reach,557
au,558
plasma,559
bh,560
kinemat,561
loss,562
propag,563
transient,564
interest,565
instabl,566
error,567
pc,568
novel,569
still,570
tidal,571
complet,572
young,573
area,574
although,575
oper,576
framework,577
et,578
smaller,579
good,580
forc,581
pattern,582
sun,583
calibr,584
either,585
comparison,586
